Date,CEG,ETN,GEV,NNE,OKLO,PH,SMR,SPY,VST
2023-10-16,114.7789306640625,204.36361694335938,0.0,0.0,10.300000190734863,385.8855285644531,5.880000114440918,422.64813232421875,31.57091522216797
2023-10-17,115.09330749511719,204.498779296875,0.0,0.0,10.3100004196167,391.5621643066406,5.610000133514404,422.62872314453125,31.84467887878418
2023-10-18,114.03226470947266,195.4601593017578,0.0,0.0,10.319999694824219,368.3793029785156,5.039999961853027,416.9971618652344,31.69801902770996
2023-10-19,112.28351593017578,193.0460205078125,0.0,0.0,10.300000190734863,364.4912109375,4.460000038146973,413.33331298828125,31.394922256469727
2023-10-20,110.1319580078125,187.32928466796875,0.0,0.0,10.319999694824219,362.48883056640625,3.799999952316284,408.25421142578125,31.218931198120117
2023-10-23,110.14178466796875,188.75848388671875,0.0,0.0,10.319999694824219,356.6080017089844,3.450000047683716,407.54669189453125,31.179824829101562
2023-10-24,112.26385498046875,192.7852783203125,0.0,0.0,10.3100004196167,362.83868408203125,3.6700000762939453,410.6192626953125,31.971784591674805
2023-10-25,110.06319427490234,188.52670288085938,0.0,0.0,10.3100004196167,357.23980712890625,3.5,404.7260437011719,32.05000686645508
2023-10-26,110.7410888671875,189.80137634277344,0.0,0.0,10.319999694824219,359.6116027832031,3.5399999618530273,399.8795471191406,32.167327880859375
2023-10-27,108.83513641357422,188.60394287109375,0.0,0.0,10.289999961853027,355.99560546875,3.200000047683716,398.0670471191406,31.306922912597656
2023-10-30,111.04564666748047,190.98916625976562,0.0,0.0,10.295000076293945,359.2130432128906,3.069999933242798,402.8262023925781,31.85445785522461
2023-10-31,110.93756866455078,200.77134704589844,0.0,0.0,10.319999694824219,358.59100341796875,3.380000114440918,405.3560791015625,31.9913387298584
2023-11-01,112.83369445800781,207.45372009277344,0.0,0.0,10.3100004196167,360.1073913574219,3.109999895095825,409.6791076660156,33.17439270019531
2023-11-02,115.13260650634766,208.73805236816406,0.0,0.0,10.300000190734863,393.26318359375,3.4800000190734863,417.5303039550781,33.88813400268555
2023-11-03,115.01471710205078,208.2435760498047,0.0,0.0,10.300000190734863,389.96807861328125,3.450000047683716,421.339599609375,34.21078872680664
2023-11-06,122.54025268554688,209.83360290527344,0.0,0.0,10.3100004196167,394.7795715332031,3.259999990463257,422.30889892578125,34.543216705322266
2023-11-07,117.76556396484375,209.2615966796875,0.0,0.0,10.300000190734863,395.6932678222656,3.2100000381469727,423.5107727050781,33.976131439208984
2023-11-08,119.05256652832031,210.9679718017578,0.0,0.0,10.289999961853027,399.1731872558594,3.0999999046325684,423.8209533691406,33.897911071777344
2023-11-09,118.51221466064453,211.7241668701172,0.0,0.0,10.289999961853027,401.2727355957031,2.0799999237060547,420.51568603515625,33.79036331176758
2023-11-10,119.63218688964844,215.05935668945312,0.0,0.0,10.300000190734863,409.18426513671875,2.0899999141693115,427.0777893066406,33.71213912963867
2023-11-13,119.58308410644531,215.7864990234375,0.0,0.0,10.289999961853027,409.16473388671875,2.309999942779541,426.670654296875,33.6339225769043
2023-11-14,124.2988052368164,221.14794921875,0.0,0.0,10.300000190734863,417.4859619140625,2.450000047683716,434.9483642578125,34.435665130615234
2023-11-15,119.84833526611328,218.77259826660156,0.0,0.0,10.329999923706055,418.5785217285156,2.680000066757202,435.8692321777344,33.927242279052734
2023-11-16,119.8109130859375,219.8875732421875,0.0,0.0,10.319999694824219,416.003173828125,2.309999942779541,436.4023742675781,33.96635818481445
2023-11-17,119.83061981201172,220.85707092285156,0.0,0.0,10.3100004196167,422.05145263671875,2.5,436.94512939453125,34.08367919921875
