Date,ETN,GEV,PH,PH weight,GEV weight,ETN weight,weightedReturn
2023-10-17,1.0006613816859244,0.0,1.014710672782432,0.5,0.0,0.5,1.007686027234178
2023-10-18,0.9558011053846163,0.0,0.9407939187148583,0.5,0.0,0.5,0.9482975120497372
2023-10-19,0.9876489469640803,0.0,0.9894454112661091,0.5,0.0,0.5,0.9885471791150947
2023-10-20,0.9703866682938829,0.0,0.9945063685734877,0.5,0.0,0.5,0.9824465184336852
2023-10-23,1.0076293422103393,0.0,0.98377652396011,0.5,0.0,0.5,0.9957029330852246
2023-10-24,1.0213330513716692,0.0,1.017472076743055,0.5,0.0,0.5,1.019402564057362
2023-10-25,0.9779102664033428,0.0,0.984569239172251,0.5,0.0,0.5,0.981239752787797
2023-10-26,1.0067612356363098,0.0,1.0066392255481234,0.5,0.0,0.5,1.0067002305922166
2023-10-27,0.993691123348246,0.0,0.989944714557408,0.5,0.0,0.5,0.991817918952827
2023-10-30,1.0126467313056233,0.0,1.009037858037332,0.5,0.0,0.5,1.0108422946714777
2023-10-31,1.0512185113831432,0.0,0.998268326257426,0.5,0.0,0.5,1.0247434188202846
2023-11-01,1.0332834995889495,0.0,1.0042287394970857,0.5,0.0,0.5,1.0187561195430175
2023-11-02,1.0061909339336805,0.0,1.0920719569552506,0.5,0.0,0.5,1.0491314454444656
2023-11-03,0.9976311155884159,0.0,0.9916211201100567,0.5,0.0,0.5,0.9946261178492363
2023-11-06,1.0076354185114862,0.0,1.0123381712088626,0.5,0.0,0.5,1.0099867948601744
2023-11-07,0.9972740008384445,0.0,1.0023144467316634,0.5,0.0,0.5,0.9997942237850539
2023-11-08,1.0081542679074662,0.0,1.0087944873379975,0.5,0.0,0.5,1.0084743776227318
2023-11-09,1.0035844069689874,0.0,1.0052597429057728,0.5,0.0,0.5,1.0044220749373802
2023-11-10,1.015752523052231,0.0,1.0197160904273017,0.5,0.0,0.5,1.0177343067397664
2023-11-13,1.0033811239147077,0.0,0.9999522678370991,0.5,0.0,0.5,1.0016666958759033
2023-11-14,1.0248460873111906,0.0,1.020337109575156,0.5,0.0,0.5,1.0225915984431735
2023-11-15,0.9892589962487112,0.0,1.002616997729562,0.5,0.0,0.5,0.9959379969891367
2023-11-16,1.0050965019587472,0.0,0.9938473959682504,0.5,0.0,0.5,0.9994719489634989
2023-11-17,1.004409060804888,0.0,1.0145390208275014,0.5,0.0,0.5,1.0094740408161946
2023-11-20,0.9961368898588367,0.0,0.997434377490549,0.5,0.0,0.5,0.9967856336746929
2023-11-21,1.0003967908835059,0.0,1.0032211855621525,0.5,0.0,0.5,1.0018089882228292
2023-11-22,1.0083696532732664,0.0,0.9960961024324912,0.5,0.0,0.5,1.0022328778528788
2023-11-24,0.9991698647568469,0.0,1.0056582260822482,0.5,0.0,0.5,1.0024140454195476
2023-11-27,1.0002624454465783,0.0,0.9959647128057105,0.5,0.0,0.5,0.9981135791261444
2023-11-28,0.9816855088461636,0.0,0.9875209009843434,0.5,0.0,0.5,0.9846032049152535
2023-11-29,1.0053874063673693,0.0,1.0035870114496566,0.5,0.0,0.5,1.0044872089085128
2023-11-30,1.0083703149039198,0.0,1.0119609362513362,0.5,0.0,0.5,1.0101656255776281
2023-12-01,1.0121656724568158,0.0,1.0161134041397863,0.5,0.0,0.5,1.0141395382983012
2023-12-04,0.9901934713013677,0.0,0.9954334582832924,0.5,0.0,0.5,0.9928134647923301
2023-12-05,0.9886065757835578,0.0,0.9924225580708264,0.5,0.0,0.5,0.9905145669271921
2023-12-06,1.0058509289428403,0.0,0.998827176103803,0.5,0.0,0.5,1.0023390525233218
2023-12-07,1.004450979714907,0.0,0.9987336030879282,0.5,0.0,0.5,1.0015922914014177
2023-12-08,1.019216564937083,0.0,1.0112043205847208,0.5,0.0,0.5,1.0152104427609019
2023-12-11,1.0102018542543858,0.0,0.999065062559646,0.5,0.0,0.5,1.004633458407016
2023-12-12,1.0100987604246892,0.0,1.0059560327380845,0.5,0.0,0.5,1.0080273965813868
2023-12-13,0.9989031870714703,0.0,1.0016106068423967,0.5,0.0,0.5,1.0002568969569334
2023-12-14,1.0038430603681507,0.0,1.0314128691943811,0.5,0.0,0.5,1.017627964781266
2023-12-15,0.998779921050755,0.0,0.9960255258249461,0.5,0.0,0.5,0.9974027234378505
2023-12-18,0.9988206588744856,0.0,0.9997575826960252,0.5,0.0,0.5,0.9992891207852554
2023-12-19,1.0043014809147255,0.0,1.0149285937249397,0.5,0.0,0.5,1.0096150373198327
2023-12-20,0.9823639939269272,0.0,0.9764481450155525,0.5,0.0,0.5,0.9794060694712399
2023-12-21,1.0142765642252318,0.0,1.0144184536828285,0.5,0.0,0.5,1.0143475089540301
2023-12-22,1.0056893680270769,0.0,1.0050230177617152,0.5,0.0,0.5,1.005356192894396
2023-12-26,1.0065789747032368,0.0,1.0071367840249759,0.5,0.0,0.5,1.0068578793641063
2023-12-27,1.0025394092292894,0.0,1.0017118790658992,0.5,0.0,0.5,1.0021256441475943
2023-12-28,0.9997093069421332,0.0,0.9993727791285149,0.5,0.0,0.5,0.999541043035324
2023-12-29,1.0002907775848922,0.0,0.9972724365759226,0.5,0.0,0.5,0.9987816070804074
2024-01-02,0.992027180846569,0.0,0.9954634247832583,0.5,0.0,0.5,0.9937453028149137
2024-01-03,0.9757221117506342,0.0,0.9827085228662957,0.5,0.0,0.5,0.979215317308465
2024-01-04,1.0059201888886151,0.0,1.0030621012939553,0.5,0.0,0.5,1.0044911450912852
2024-01-05,1.0016206299038402,0.0,1.0032959274037874,0.5,0.0,0.5,1.0024582786538137
2024-01-08,1.0175423665719943,0.0,1.0113330016597246,0.5,0.0,0.5,1.0144376841158596
2024-01-09,1.0020920741821964,0.0,0.9973183285220791,0.5,0.0,0.5,0.9997052013521377
2024-01-10,1.0058877307168095,0.0,1.0072575200313858,0.5,0.0,0.5,1.0065726253740976
2024-01-11,1.01050287577108,0.0,1.0040367145632465,0.5,0.0,0.5,1.0072697951671632
2024-01-12,0.9946183259978316,0.0,0.9949851789497202,0.5,0.0,0.5,0.9948017524737759
2024-01-16,0.9984718520252479,0.0,1.0009341742215214,0.5,0.0,0.5,0.9997030131233846
2024-01-17,0.9814676201588053,0.0,0.9897993977056215,0.5,0.0,0.5,0.9856335089322135
2024-01-18,1.0120541964217307,0.0,1.0211598103128334,0.5,0.0,0.5,1.016607003367282
2024-01-19,1.0186574139254123,0.0,1.010027825064968,0.5,0.0,0.5,1.0143426194951901
2024-01-22,0.9971381854228327,0.0,1.0066969241130104,0.5,0.0,0.5,1.0019175547679215
2024-01-23,0.9973349140201487,0.0,0.9906657738169168,0.5,0.0,0.5,0.9940003439185328
2024-01-24,0.9930937074592255,0.0,0.9910038929624714,0.5,0.0,0.5,0.9920488002108485
2024-01-25,1.0175932427729253,0.0,1.0148855697689794,0.5,0.0,0.5,1.0162394062709523
2024-01-26,1.0002847162924113,0.0,0.9995549534962209,0.5,0.0,0.5,0.9999198348943161
2024-01-29,1.0115090059182625,0.0,1.0104115740261035,0.5,0.0,0.5,1.010960289972183
