Date,VST,CEG,CEG weight,VST weight,weightedReturn
2023-06-06,0.9931726935080385,1.0233115392613175,0.5,0.5,1.008242116384678
2023-06-07,1.0173876163188256,1.0140703927439383,0.5,0.5,1.0157290045313818
2023-06-08,0.986486646986502,1.016407984124835,0.5,0.5,1.0014473155556685
2023-06-09,1.0,1.0107257970426657,0.5,0.5,1.0053628985213328
2023-06-12,0.9951652241221645,1.0049308934576624,0.5,0.5,1.0000480587899134
2023-06-13,1.0080971342032172,1.0053332746404298,0.5,0.5,1.0067152044218235
2023-06-14,0.9963856277739435,0.9888594805656807,0.5,0.5,0.9926225541698122
2023-06-15,1.0209592709968605,1.00278952181118,0.5,0.5,1.0118743964040202
2023-06-16,0.9893407215080089,0.9939011852544035,0.5,0.5,0.9916209533812061
2023-06-20,1.004586231875417,0.9903111758537845,0.5,0.5,0.9974487038646007
2023-06-21,1.0072085995065716,0.9838024885142987,0.5,0.5,0.9955055440104352
2023-06-22,1.0059643810451298,0.9861878659816725,0.5,0.5,0.9960761235134011
2023-06-23,0.9920949269775173,1.0124372008904092,0.5,0.5,1.0022660639339633
2023-06-26,1.019920270121581,1.0029878406183976,0.5,0.5,1.0114540553699893
2023-06-27,1.007421779037147,1.002427449927509,0.5,0.5,1.004924614482328
2023-06-28,0.997673482633927,0.9966981295000038,0.5,0.5,0.9971858060669654
2023-06-29,1.012048319609801,1.0035337202247052,0.5,0.5,1.007791019917253
2023-06-30,1.0080645586816177,1.00748333490143,0.5,0.5,1.0077739467915239
2023-07-03,0.993904648103068,1.0005459480009833,0.5,0.5,0.9972252980520256
2023-07-05,1.028746542038356,1.0058952992740788,0.5,0.5,1.0173209206562173
2023-07-06,1.0040986163184225,0.9876276281656319,0.5,0.5,0.9958631222420271
2023-07-07,0.9907235486394065,1.0036261984042811,0.5,0.5,0.9971748735218438
2023-07-10,0.9910111051138749,1.02485499102502,0.5,0.5,1.0079330480694475
2023-07-11,1.0022675328201396,1.0081197557068766,0.5,0.5,1.005193644263508
2023-07-12,1.0090498330342776,1.01801614089504,0.5,0.5,1.0135329869646588
2023-07-13,0.9981316833524926,0.9917758649004299,0.5,0.5,0.9949537741264612
2023-07-14,0.9861474315526912,0.997165982075276,0.5,0.5,0.9916567068139837
2023-07-17,0.9920272929236384,1.0124209424385875,0.5,0.5,1.0022241176811129
2023-07-18,1.024875660758213,0.9915783871419276,0.5,0.5,1.0082270239500704
2023-07-19,1.0205376727274114,0.9932890936259453,0.5,0.5,1.0069133831766783
2023-07-20,1.0014634948633678,1.022801716860681,0.5,0.5,1.0121326058620244
2023-07-21,1.0361710933464297,0.9970070712582564,0.5,0.5,1.016589082302343
2023-07-24,0.9978842439399117,0.9994823509231919,0.5,0.5,0.9986832974315518
2023-07-25,0.9929329197859241,1.0100465609315605,0.5,0.5,1.0014897403587424
2023-07-26,1.0110320042822607,0.9981542991830242,0.5,0.5,1.0045931517326425
2023-07-27,0.9890883728353462,0.9802752936455954,0.5,0.5,0.9846818332404708
2023-07-28,0.9864769024832208,1.0033536134313616,0.5,0.5,0.9949152579572913
2023-07-31,1.0122653616017154,1.0095049139369727,0.5,0.5,1.010885137769344
2023-08-01,0.993941767235569,0.9963787337435163,0.5,0.5,0.9951602504895427
2023-08-02,1.0035853791638403,0.9922117216330465,0.5,0.5,0.9978985503984434
2023-08-03,0.9982137850547576,1.0585033881667034,0.5,0.5,1.0283585866107305
