Date,CEG,ETN,GEV,NNE,OKLO,PH,SMR,SPY,VST
2023-10-17,1.0027389768247172,1.0006613816859244,0.0,0.0,1.0009708959899661,1.014710672782432,0.9540816367905486,0.9999540772141101,1.0086713880383165
2023-10-18,0.9907810209929926,0.9558011053846163,0.0,0.0,1.0009698617653298,0.9407939187148583,0.8983956937440751,0.986674920631528,0.9953945256715423
2023-10-19,0.9846644387555376,0.9876489469640803,0.0,0.0,0.9980620634999257,0.9894454112661091,0.8849206491873048,0.9912137318619516,0.9904379901161876
2023-10-20,0.9808381675213907,0.9703866682938829,0.0,0.0,1.0019416993901946,0.9945063685734877,0.8520179192408923,0.9877118504536216,0.9943942827151502
2023-10-23,1.0000892262367256,1.0076293422103393,0.0,0.0,1.0,0.98377652396011,0.9078947607830293,0.998266963300197,0.9987473508054975
2023-10-24,1.0192667144344643,1.0213330513716692,0.0,0.0,0.9990310779551153,1.017472076743055,1.0637681233534866,1.0075391871947188,1.0253997502203434
2023-10-25,0.9803974243896286,0.9779102664033428,0.0,0.0,1.0,0.984569239172251,0.9536784542888578,0.9856479723930693,1.0024466033341362
2023-10-26,1.0061591397265102,1.0067612356363098,0.0,0.0,1.0009698617653298,1.0066392255481234,1.0114285605294364,0.9880252416234186,1.003660561287651
2023-10-27,0.9827891122156194,0.993691123348246,0.0,0.0,0.9970930490447362,0.989944714557408,0.9039548254708633,0.9954673850836887,0.9732522088421995
2023-10-30,1.0203106306175451,1.0126467313056233,0.0,0.0,1.0004859197725418,1.009037858037332,0.9593749648425733,1.0119556625143429,1.0174892608946449
2023-10-31,0.9990267245392039,1.0512185113831432,0.0,0.0,1.0024283262112683,0.998268326257426,1.1009772599150096,1.0062803181470277,1.0042970712374355
2023-11-01,1.0170918275592506,1.0332834995889495,0.0,0.0,0.9990310779551153,1.0042287394970857,0.9201182810049244,1.010664768057839,1.0369804458740184
2023-11-02,1.0203743399467915,1.0061909339336805,0.0,0.0,0.9990300457347403,1.0920719569552506,1.118971104970491,1.0191642584211618,1.0215148264789797
2023-11-03,0.9989760554557551,0.9976311155884159,0.0,0.0,1.0,0.9916211201100567,0.9913793186134069,1.009123399231656,1.009521171159661
2023-11-06,1.0654310663288316,1.0076354185114862,0.0,0.0,1.0009708959899661,1.0123381712088626,0.9449275204074207,1.002300517960583,1.009717050991436
2023-11-07,0.9610357526113843,0.9972740008384445,0.0,0.0,0.9990300457347403,1.0023144467316634,0.9846625912691555,1.0028459589233238,0.983583310409366
2023-11-08,1.010928513566672,1.0081542679074662,0.0,0.0,0.9990291040100338,1.0087944873379975,0.9657320460413752,1.000732403244624,0.9976977847648254
2023-11-09,0.9954612329374081,1.0035844069689874,0.0,0.0,1.0,1.0052597429057728,0.6709677379659756,0.9922012649263579,0.9968273042022548
2023-11-10,1.0094502683306603,1.015752523052231,0.0,0.0,1.0009718395450835,1.0197160904273017,1.0048076878990646,1.0156048953449404,0.9976850150616267
2023-11-13,0.9995895520722328,1.0033811239147077,0.0,0.0,0.9990291040100338,0.9999522678370991,1.105263175906718,0.9990466958948472,0.9976798697812205
2023-11-14,1.0394346839739763,1.0248460873111906,0.0,0.0,1.0009718395450835,1.020337109575156,1.0606061075203828,1.019400701401831,1.0238373193574952
2023-11-15,0.964195392206514,0.9892589962487112,0.0,0.0,1.002912595380161,1.002616997729562,1.09387755697839,1.0021171890633345,0.9852355733616864
2023-11-16,0.9996877538591363,1.0050965019587472,0.0,0.0,0.9990319236248117,0.9938473959682504,0.8619402556861273,1.0012231698190304,1.001152935020182
2023-11-17,1.000164481895402,1.004409060804888,0.0,0.0,0.9990310779551153,1.0145390208275014,1.0822511090592664,1.0012437034236215,1.0034540357186938
2023-11-20,1.0048483937065555,0.9961368898588367,0.0,0.0,1.0009698617653298,0.997434377490549,1.0239999771118165,1.0076976813087022,0.9951235792681944
2023-11-21,1.0018807432747097,1.0003967908835059,0.0,0.0,1.0009690144551895,1.0032211855621525,0.9687500291038311,0.9978205620835884,0.9942344517572421
2023-11-22,1.0060404345409417,1.0083696532732664,0.0,0.0,1.0014521145627824,0.9960961024324912,1.0362902876923907,1.0038607067077774,1.0092780553481964
2023-11-24,1.004949211662767,0.9991698647568469,0.0,0.0,0.9995166636721263,1.0056582260822482,1.1011673140921805,1.0006154093973998,1.0014363344073431
2023-11-27,1.0100113739596936,1.0002624454465783,0.0,0.0,0.9990328598903034,0.9959647128057105,0.9858657374800757,0.9981990949212444,1.0223753507620512
2023-11-28,0.9948041577142976,0.9816855088461636,0.0,0.0,1.0,0.9875209009843434,0.9569892877420034,1.0009900922194837,0.9882154436157654
2023-11-29,0.9689031131750271,1.0053874063673693,0.0,0.0,1.0019361527503765,1.0035870114496566,1.0337078320590292,0.9992965062486371,0.9914819848626962
2023-11-30,1.003814968287309,1.0083703149039198,0.0,0.0,1.0,1.0119609362513362,1.0036231849629746,1.0039374212297598,1.014032184719688
2023-12-01,0.9904162849799806,1.0121656724568158,0.0,0.0,1.0028985248179219,1.0161134041397863,1.0974729179731633,1.0059159082447509,1.0245692914597841
2023-12-04,0.9919921519159305,0.9901934713013677,0.0,0.0,0.9971098523467784,0.9954334582832924,1.0361842548995803,0.9947507008072278,1.0231532349326853
2023-12-05,0.9948703872722746,0.9886065757835578,0.0,0.0,0.9990337943465452,0.9924225580708264,0.9777777239548903,0.9998027605525517,1.0067348575017836
2023-12-06,0.9519904902252972,1.0058509289428403,0.0,0.0,1.0019341879878358,0.998827176103803,1.0097402506924975,0.9959703085382501,0.9708322892914715
2023-12-07,0.9813549072374906,1.004450979714907,0.0,0.0,1.0009652730900807,0.9987336030879282,1.0096463700386797,1.0076304125662363,1.024531479213364
2023-12-08,1.0061521696584836,1.019216564937083,0.0,0.0,0.9990356577635298,1.0112043205847208,1.0286623920899705,1.0042992625320493,0.9943502083573881
2023-12-11,1.044420529740192,1.0102018542543858,0.0,0.0,1.0019305461801615,0.999065062559646,0.9566563145271023,1.0038895931064038,0.99783554970271
2023-12-12,0.9857081336131917,1.0100987604246892,0.0,0.0,1.0086705348358023,1.0059560327380845,0.9190938488853623,1.004567197751546,1.0122017597117228
